date,vix,vix3m,ret_5d,label
2010-01-01,15.00,15.00,0.0050,NORMAL
2010-02-01,16.04,15.99,0.0070,NORMAL
2010-03-01,16.99,16.90,0.0089,NORMAL
2010-04-01,17.78,17.65,0.0106,NORMAL
2010-05-01,23.94,22.49,-0.0092,CAUTION
2010-06-01,23.99,22.69,-0.0130,CAUTION
2010-07-01,23.82,22.75,-0.0149,CAUTION
2010-08-01,18.54,18.34,0.0149,NORMAL
2010-09-01,18.18,18.00,0.0150,NORMAL
2010-10-01,17.71,17.55,0.0147,NORMAL
2010-11-01,17.19,17.07,0.0141,NORMAL
2010-12-01,16.69,16.62,0.0131,NORMAL
2011-01-01,16.28,16.25,0.0118,NORMAL
2011-02-01,15.99,16.01,0.0102,NORMAL
2011-03-01,15.83,15.90,0.0083,NORMAL
2011-04-01,15.80,15.91,0.0064,NORMAL
2011-05-01,15.85,16.00,0.0044,NORMAL
2011-06-01,15.93,16.11,0.0024,NORMAL
2011-07-01,15.98,16.18,0.0006,NORMAL
2011-08-01,32.75,29.26,-0.0285,SHOCK
2011-09-01,36.56,33.36,-0.0209,SHOCK
2011-10-01,15.44,15.62,-0.0037,NORMAL
2011-11-01,14.93,15.07,-0.0045,NORMAL
2011-12-01,14.27,14.37,-0.0049,NORMAL
2012-01-01,13.50,13.55,-0.0050,NORMAL
2012-02-01,12.68,12.69,-0.0046,NORMAL
2012-03-01,11.91,11.86,-0.0038,NORMAL
2012-04-01,11.25,11.16,-0.0027,NORMAL
2012-05-01,33.35,30.84,-0.0273,SHOCK
2012-06-01,11.00,10.84,0.0004,NORMAL
2012-07-01,11.00,10.81,0.0022,NORMAL
2012-08-01,11.00,10.80,0.0042,NORMAL
2012-09-01,11.58,11.38,0.0062,NORMAL
2012-10-01,12.38,12.19,0.0081,NORMAL
2012-11-01,13.30,13.15,0.0099,NORMAL
2012-12-01,14.27,14.15,0.0116,NORMAL
2013-01-01,15.20,15.12,0.0129,NORMAL
2013-02-01,16.01,15.98,0.0140,NORMAL
2013-03-01,16.65,16.66,0.0147,NORMAL
2013-04-01,17.08,17.14,0.0150,NORMAL
2013-05-01,17.29,17.40,0.0149,NORMAL
2013-06-01,17.32,17.46,0.0144,NORMAL
2013-07-01,17.20,17.37,0.0135,NORMAL
2013-08-01,23.96,22.73,-0.0138,CAUTION
2013-09-01,23.73,22.73,-0.0150,CAUTION
2013-10-01,23.30,22.54,-0.0137,CAUTION
2013-11-01,16.49,16.67,0.0072,NORMAL
2013-12-01,16.51,16.66,0.0052,NORMAL
2014-01-01,16.65,16.76,0.0033,NORMAL
2014-02-01,27.23,24.08,-0.0395,SHOCK
2014-03-01,17.17,17.19,-0.0004,NORMAL
2014-04-01,17.45,17.42,-0.0020,NORMAL
2014-05-01,20.00,18.62,0.0015,CAUTION
2014-06-01,20.15,18.66,-0.0030,CAUTION
2014-07-01,20.50,19.02,-0.0079,CAUTION
2014-08-01,17.26,17.08,-0.0050,NORMAL
2014-09-01,16.70,16.50,-0.0048,NORMAL
2014-10-01,34.18,30.73,-0.0256,SHOCK
2014-11-01,15.01,14.83,-0.0032,NORMAL
2014-12-01,14.02,13.85,-0.0019,NORMAL
